genes	GOcats
AC186587.3_FG006	GO:0003676
AC186587.3_FG006	GO:0008270
AC186592.3_FG002	GO:0003676
AC186592.3_FG002	GO:0008270
AC186598.3_FG001	GO:0008152
AC186603.6_FG003	GO:0004497
AC186603.6_FG003	GO:0005506
AC186603.6_FG003	GO:0008299
AC186603.6_FG003	GO:0009055
AC186603.6_FG003	GO:0020037
AC186603.6_FG003	GO:0055114
AC186604.4_FG003	GO:0008033
AC186604.4_FG003	GO:0050660
AC186606.4_FG003	GO:0003700
AC186606.4_FG003	GO:0005634
AC186606.4_FG003	GO:0006355
AC186606.4_FG003	GO:0043565
AC186606.4_FG003	GO:0046983
AC186623.5_FG003	GO:0003676
AC186630.4_FG007	GO:0003676
AC186630.4_FG007	GO:0008270
AC186645.3_FG002	GO:0005179
AC186645.3_FG002	GO:0005576
AC186647.3_FG001	GO:0005249
AC186647.3_FG001	GO:0006813
AC186647.3_FG001	GO:0008076
AC186667.3_FG008	GO:0005488
AC186669.3_FG002	GO:0005856
AC186669.3_FG002	GO:0007160
AC186691.4_FG006	GO:0008152
AC186691.4_FG006	GO:0016491
AC186691.4_FG006	GO:0055114
AC186781.4_FG006	GO:0030001
AC186781.4_FG006	GO:0046872
AC186783.3_FG003	GO:0003735
AC186783.3_FG003	GO:0005622
AC186783.3_FG003	GO:0005840
AC186783.3_FG003	GO:0006412
AC186789.4_FG001	GO:0008483
AC186789.4_FG001	GO:0030170
AC186802.4_FG002	GO:0004497
AC186802.4_FG002	GO:0005506
AC186802.4_FG002	GO:0009055
AC186802.4_FG002	GO:0020037
AC186802.4_FG002	GO:0055114
AC186815.3_FG003	GO:0005199
AC186884.3_FG005	GO:0003676
AC186884.3_FG005	GO:0008270
AC186897.4_FG005	GO:0003735
AC186897.4_FG005	GO:0005622
AC186897.4_FG005	GO:0005840
AC186897.4_FG005	GO:0006412
AC187046.3_FG006	GO:0015936
AC187046.3_FG006	GO:0016616
AC187046.3_FG006	GO:0050662
AC187046.3_FG006	GO:0055114
AC187072.4_FG002	GO:0003676
AC187072.4_FG002	GO:0005622
AC187072.4_FG002	GO:0006139
AC187072.4_FG002	GO:0008408
AC187080.3_FG006	GO:0003676
AC187080.3_FG006	GO:0008270
AC187080.3_FG007	GO:0003676
AC187080.3_FG007	GO:0008270
AC187082.3_FG002	GO:0005164
AC187082.3_FG002	GO:0006955
AC187082.3_FG002	GO:0016020
AC187090.3_FG003	GO:0000786
AC187090.3_FG003	GO:0003677
AC187090.3_FG003	GO:0006334
AC187098.4_FG011	GO:0000785
