Gene	ck_rep1	ck_rep2	ck_rep3	trt_rep1	trt_rep2	trt_rep3	ck_rep1.RPKM	ck_rep2.RPKM	ck_rep3.RPKM	trt_rep1.RPKM	trt_rep2.RPKM	trt_rep3.RPKM	log2FC	pval	qval	ck.mean	trt.mean
GRMZM2G086389	945	790	888	541	1021	1009	22.824	18.092	21.047	14.292	24.962	22.333	-0.0428234355083052	0.865076082165248	0.986815315631193	860.6	747.3
GRMZM2G086403	221	236	233	238	200	256	6.617	6.7	6.846	7.795	6.062	7.025	0.0394592446048902	0.877938604514303	0.987763287633814	225.8	249.4
GRMZM2G086418	287	316	308	287	307	352	14.167	14.791	14.92	15.497	15.34	15.924	0.0879975232154473	0.700080185017984	0.956578168644464	298.1	314.3
GRMZM2G086430	24	34	35	12	20	16	0.572	0.769	0.819	0.313	0.483	0.35	-0.926928501402691	0.146694197887762	0.671589109903441	30.4	24.3
GRMZM2G086464	788	761	743	695	654	802	36.949	33.836	34.189	35.647	31.042	34.463	-0.0585486569619642	0.757593147925608	0.967318102849762	750.5	759.8
GRMZM2G086484	510	573	408	295	566	377	18.573	19.787	14.581	11.751	20.865	12.582	-0.266624750711638	0.259624443544368	0.792120698698748	486.5	369.1
GRMZM2G086489	3044	3406	3143	2541	3304	3633	81.372	86.335	82.451	74.301	89.406	89.002	0.00618081242561329	0.970359422597912	0.995570884220992	3137.1	2992.6
GRMZM2G086496	809	562	866	1231	371	1332	23.396	15.412	24.578	38.942	10.861	35.303	0.256612820220173	0.348966962247623	0.841993058933699	736.3	1119.2
GRMZM2G086497	469	492	466	531	497	475	16.9	16.811	16.479	20.93	18.129	15.686	0.111829917277351	0.603310629309519	0.933190729292244	466.9	529.3
GRMZM2G086553	248	227	302	189	247	291	8.443	7.328	10.089	7.038	8.512	9.079	-0.0702704729677588	0.781845462814146	0.973652775305516	255.2	256.9
GRMZM2G086577	21	15	27	25	9	20	0.47	0.318	0.592	0.611	0.204	0.41	-0.254586264101363	0.718381144407803	0.963315553473608	20.8	27.5
GRMZM2G086583	164	174	138	185	204	168	9.38	9.437	7.746	11.575	11.811	8.806	0.267513727582883	0.328496860927216	0.827563968494882	155.5	172.2
GRMZM2G086587	21	6	13	38	7	13	0.465	0.126	0.283	0.921	0.157	0.264	0.423407382945758	0.585044291706688	0.928248505881929	13.2	27.6
GRMZM2G086604	47	51	55	58	43	57	2.781	2.861	3.194	3.754	2.576	3.091	0.0745430558193503	0.867773390086108	0.987183277181027	50.1	59.9
GRMZM2G086614	72	51	77	26	48	89	1.577	1.059	1.655	0.623	1.064	1.786	-0.388514414861076	0.416968740905627	0.869867349325677	65.8	53.2
GRMZM2G086636	817	919	887	680	929	797	37.408	39.9	39.856	34.058	43.058	33.443	-0.0963984167146201	0.620336155573387	0.936267741236148	858.1	824
GRMZM2G086648	1826	1918	1785	1101	1705	1551	36.064	35.92	34.597	23.786	34.088	28.073	-0.329044348670582	0.0817530794950732	0.539840253583261	1808.9	1509.7
GRMZM2G086656	5	13	5	7	13	13	0.231	0.569	0.226	0.353	0.607	0.55	0.642038055598932	0.516416596256553	0.907274879157821	7.4	6.4
GRMZM2G086669	142	198	147	324	155	163	6.962	9.205	7.072	17.375	7.692	7.324	0.362723460853375	0.327448072494936	0.826739389619996	158.7	253.8
GRMZM2G086714	208	141	154	119	146	131	9.709	6.241	7.054	6.076	6.898	5.604	-0.292614106266226	0.348872192917825	0.841993058933699	165.2	143.6
GRMZM2G086730	42	64	38	27	56	69	0.739	1.068	0.656	0.52	0.997	1.113	0.0551203014739544	0.910811906948732	0.99198597827266	46.8	34.1
GRMZM2G086750	539	550	631	1254	524	692	23.191	22.439	26.643	59.019	22.822	27.286	0.459828525030425	0.125800834655312	0.640299474733006	563.8	1013.7
GRMZM2G086757	57	82	47	59	79	68	2.553	3.483	2.066	2.891	3.582	2.791	0.211030610814213	0.598870114069093	0.931736984811028	60.5	56.4
GRMZM2G086761	19	19	14	27	20	36	1.826	1.731	1.32	2.838	1.945	3.17	0.686735046314709	0.300051027615316	0.81423459753525	17	22
GRMZM2G086763	7880	6460	10399	8267	6531	9932	299.055	232.471	387.292	343.188	250.9	345.435	0.0440329092189228	0.798523325115873	0.978199692905601	8140.8	9823.5
